NAMA SYARIKAT,NO KENDERAAN,KELAS LESEN,DAERAH,NEGERI
 AGENSI PENGANGKUTAN CAHAYA,WBL5329,BAS SEKOLAH   ,Johor Bahru,Johor
 AL FATAH TRANSPORT AGENCY,MW9258,BAS SEKOLAH   ,Johor Bahru,Johor
 AMIDA BERJAYA ENTERPRISE,JDJ3337,BAS SEKOLAH   ,Johor Bahru,Johor
 AMIDA BERJAYA ENTERPRISE,WDN6422,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,JEB8672,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,JLP5951,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,WFY4462,BAS SEKOLAH   ,Johor Bahru,Johor
 D TRANZ AGENCY,DU7091,BAS SEKOLAH   ,Johor Bahru,Johor
 DELIMA TRANS,JHY7056,BAS SEKOLAH   ,Johor Bahru,Johor
 DELIMA TRANS,JPB3567,BAS SEKOLAH   ,Johor Bahru,Johor
 GAWRY TRANSPORT & TRADING,JMB1965,BAS SEKOLAH   ,Johor Bahru,Johor
 INSTITIUT KEMAHIRAN MARA SUNGAI PETANI,KBH3889,BAS SEKOLAH   ,Kuala Muda,Kedah
 INSTITIUT KEMAHIRAN MARA SUNGAI PETANI,KCA1048,BAS SEKOLAH   ,Kuala Muda,Kedah
 ISZYMAH ENTERPRISE,JEF2409,BAS SEKOLAH   ,Johor Bahru,Johor
 JEYIZ TRANSPORT,ABU9435,BAS SEKOLAH   ,Johor Bahru,Johor
 JEYIZ TRANSPORT,JDB540,BAS SEKOLAH   ,Johor Bahru,Johor
 KV TRANS,WBF2232,BAS SEKOLAH   ,Johor Bahru,Johor
 MD AMIN BIN MD TAP,JCR9479,BAS SEKOLAH   ,Johor Bahru,Johor
 MD AMIN BIN MD TAP,JCG6699,BAS SEKOLAH   ,Johor Bahru,Johor
 NELY ENTERPRISE,JDY5219,BAS SEKOLAH   ,Johor Bahru,Johor
 NELY ENTERPRISE,DX7053,BAS SEKOLAH   ,Johor Bahru,Johor
 OUM VINAIYAGAR TRAN.AGENCY,JDE4393,BAS SEKOLAH   ,Johor Bahru,Johor
 PENGANGKUTAN BAS AZHAR,JCE4201,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,JEF4202,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,JFL3637,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,WKY6681,BAS SEKOLAH   ,Johor Bahru,Johor
 S & J BERJAYA ENTERPRISE,JCA6669,BAS SEKOLAH   ,Johor Bahru,Johor
 S & J BERJAYA ENTERPRISE,JPD2166,BAS SEKOLAH   ,Johor Bahru,Johor
 SHAHNAZA ENTERPRISE,JCG9523,BAS SEKOLAH   ,Johor Bahru,Johor
 SHAIDAN JAYA ENTERPRISE,JEW8953,BAS SEKOLAH   ,Kulai Jaya,Johor
 SHAIDAN JAYA ENTERPRISE,WBL763,BAS SEKOLAH   ,Kulai Jaya,Johor
 SHAIDAN JAYA ENTERPRISE,WEB2030,BAS SEKOLAH   ,Kulai Jaya,Johor
 SRI ATHAVAN BUS SERVICE,WEL2406,BAS SEKOLAH   ,Jasin,Melaka
 SRI ATHAVAN BUS SERVICE,NAJ766,BAS SEKOLAH   ,Jasin,Melaka
 SUTHA ENTERPRISE,JDL4410,BAS SEKOLAH   ,Johor Bahru,Johor
 SWETA AGENCY,JEU2594,BAS SEKOLAH   ,Johor Bahru,Johor
 TADIKA LINDAR DUA,ABR9571,BAS SEKOLAH   ,Johor Bahru,Johor
 TADIKA LINDAR DUA,WGD5601,BAS SEKOLAH   ,Johor Bahru,Johor
 VD MAHAAN TRANSPORT AGENCY,JBG5705,BAS SEKOLAH   ,Johor Bahru,Johor
 VJL ENTERPRISE,WEV6473,BAS SEKOLAH   ,Kuala Muda,Kedah
 VJL ENTERPRISE,WCC1460,BAS SEKOLAH   ,Kuala Muda,Kedah
 WAKIL PENGANGKUTAN HOSEN,BDP8700,BAS SEKOLAH   ,Johor Bahru,Johor
 YAP LING ENTERPRISE,JKC4923,BAS SEKOLAH   ,Johor Bahru,Johor
 ZALERA ENTERPRISE,WDN1026,BAS SEKOLAH   ,Johor Bahru,Johor
 ZALERA ENTERPRISE,WFT8315,BAS SEKOLAH   ,Johor Bahru,Johor
A & C BERKAT ENTERPRISE,WHA2961,BAS SEKOLAH   ,Klang,Selangor
A & G BAL BROTHERS ENTERPRISE,BMR7128,BAS SEKOLAH   ,Hulu Langat,Selangor
A & G BAL BROTHERS ENTERPRISE,BMY7128,BAS SEKOLAH   ,Hulu Langat,Selangor
A & S BERSATU RESOURCES,JCQ7744,BAS SEKOLAH   ,Klang,Selangor
A & S BERSATU RESOURCES,BHD1333,BAS SEKOLAH   ,Klang,Selangor
A & S BERSATU RESOURCES,W1767R,BAS SEKOLAH   ,Klang,Selangor
A A ANNAMAH ENTERPRISE,CBM4176,BAS SEKOLAH   ,Klang,Selangor
A JADE TRANSPORT,WVT1955,BAS SEKOLAH   ,Kuala Selangor,Selangor
A KALIPAN A/K AYAMUTHU T/A K PESHA ENTERPRISE,BES7637,BAS SEKOLAH   ,Johor Bahru,Johor
A KALIPAN A/K AYAMUTHU T/A K PESHA ENTERPRISE,WEM6232,BAS SEKOLAH   ,Johor Bahru,Johor
A M B S RAMAKRISHNAN ENTERPRISE,BLA6084,BAS SEKOLAH   ,Klang,Selangor
A MASTURA ENTERPRISE,W2764W,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A MEN ENTERPRISE,BFF3874,BAS SEKOLAH   ,Klang,Selangor
A NOI ENTERPRISE,JJU3416,BAS SEKOLAH   ,Johor Bahru,Johor
A NOI ENTERPRISE,BEG5328,BAS SEKOLAH   ,Johor Bahru,Johor
A NOI ENTERPRISE,JQN4040,BAS SEKOLAH   ,Johor Bahru,Johor
A PEACE ENTERPRISE,WA8309X,BAS SEKOLAH   ,Hulu Langat,Selangor
A R Z TRADING,BES6571,BAS SEKOLAH   ,Klang,Selangor
A R Z TRADING,DY318,BAS SEKOLAH   ,Klang,Selangor
A R Z TRANSPORT TRAVEL & TOUR SDN BHD,BEV772,BAS SEKOLAH   ,Kuala Langat,Selangor
A RAHIM BIN SUKIMAN,AW9194,BAS SEKOLAH   ,Perak Tengah,Perak
A RAHIM TRANSPORT,JQR8095,BAS SEKOLAH   ,Johor Bahru,Johor
A RAHIM TRANSPORT,JHF640,BAS SEKOLAH   ,Johor Bahru,Johor
A RAHMAN BIN MOHAMED,WM3988,BAS SEKOLAH   ,Segamat,Johor
A RUKUMANI TRANSPORT,WFR2718,BAS SEKOLAH   ,Klang,Selangor
A RUKUMANI TRANSPORT,WPE4996,BAS SEKOLAH   ,Klang,Selangor
A RUZI BIN JAMIAN,BDP5925,BAS SEKOLAH   ,Klang,Selangor
A S M RAMESH CHETTIAR SDN BHD,PBR1899,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BEG6602,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BEA3126,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BMA6050,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,JBS6617,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,WP8978,BAS SEKOLAH   ,Petaling,Selangor
A SHAH BINTI JA AFAR,WA5448Y,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WDK504,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WCN7169,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WCR4901,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WPV8317,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WGE1350,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A THREE ENTERPRISE,BEV6156,BAS SEKOLAH   ,Petaling,Selangor
A Z TRANSPORTATION,NAM4122,BAS SEKOLAH   ,Sepang,Selangor
A. RAHIM BIN MOHAMED DAN RAKAN T/A SINAR KOTA TRADING,JDQ835,BAS SEKOLAH   ,Kota Tinggi,Johor
A. RAHMAN BIN SAID T/A RZ TEGUH JAYA ENTERPRISE,TBL3271,BAS SEKOLAH   ,Kuala Terengganu,Terengganu
A. SAHATHEVAN A/L S.ALAGARASAMY,ACK5678,BAS SEKOLAH   ,Petaling,Selangor
A. SAHATHEVAN A/L S.ALAGARASAMY,WGG4776,BAS SEKOLAH   ,Petaling,Selangor
A.PERUMAL A/L M APAU,MAE707,BAS SEKOLAH   ,Melaka Tengah,Melaka
A.SIMANSALAM ENTERPRISE,NBK2218,BAS SEKOLAH   ,Kulim,Kedah
A.SIMANSALAM ENTERPRISE,PJG 9369,BAS SEKOLAH   ,Kulim,Kedah
AA QASEH ENTERPRISE,BED358,BAS SEKOLAH   ,Alor Gajah,Melaka
